city,state_id,state_name
Goff,KS,Kansas
Auburn,WV,West Virginia
Hannaford,ND,North Dakota
Anegam,AZ,Arizona
Parksville,SC,South Carolina
Parrott,GA,Georgia
Dennis,MS,Mississippi
Clarksburg,IN,Indiana
Sharon,ND,North Dakota
Beaver Bay,MN,Minnesota
Longview,IL,Illinois
Merriman,NE,Nebraska
Shellytown,PA,Pennsylvania
Brandy Station,VA,Virginia
Belvidere,TN,Tennessee
Burton,IL,Illinois
Anselmo,NE,Nebraska
Caney Ridge,OK,Oklahoma
Ahmeek,MI,Michigan
Weed,NM,New Mexico
Levering,MI,Michigan
Carson Valley,PA,Pennsylvania
Peach Orchard,AR,Arkansas
Weldon,IA,Iowa
Parker,WA,Washington
White Oak,MO,Missouri
Emington,IL,Illinois
Eagle,MI,Michigan
Jesterville,MD,Maryland
Vale,SD,South Dakota
Mapletown,PA,Pennsylvania
Loma,MT,Montana
Chuathbaluk,AK,Alaska
Hazelton,KS,Kansas
Cross Anchor,SC,South Carolina
Gramling,SC,South Carolina
Mason,WI,Wisconsin
Elk Mountain,WY,Wyoming
Anzac Village,NM,New Mexico
Ward,CO,Colorado
Oyens,IA,Iowa
Casmalia,CA,California
Nikolai,AK,Alaska
Paige,TX,Texas
Nelson,MO,Missouri
Pontotoc,OK,Oklahoma
Pinebrook,TX,Texas
Fort Seneca,OH,Ohio
Haynes,AR,Arkansas
Montier,MO,Missouri
Brooksburg,IN,Indiana
Ithaca,OH,Ohio
La Carla,TX,Texas
Whitharral,TX,Texas
Norwich,OH,Ohio
Fulton,SD,South Dakota
Jennings,KS,Kansas
Talking Rock,GA,Georgia
Fidelis,FL,Florida
Powhattan,KS,Kansas
Rutherford,CA,California
Salineño North,TX,Texas
Klukwan,AK,Alaska
Goodland,FL,Florida
Sagamore,PA,Pennsylvania
Hudson,KS,Kansas
Turner,MI,Michigan
Vining,MN,Minnesota
Babcock,WI,Wisconsin
Strandquist,MN,Minnesota
Slana,AK,Alaska
Hattieville,AR,Arkansas
Alcova,WY,Wyoming
Shade Gap,PA,Pennsylvania
Lincoln,IA,Iowa
Marseilles,OH,Ohio
Seward,KS,Kansas
Liverpool,IL,Illinois
Fronton Ranchettes,TX,Texas
New Freeport,PA,Pennsylvania
Balltown,IA,Iowa
Litchfield,CA,California
Hat Creek,CA,California
Bowdens,NC,North Carolina
Marmarth,ND,North Dakota
Hungerford,TX,Texas
New Amsterdam,IN,Indiana
Princeton,SC,South Carolina
Newald,WI,Wisconsin
Connelsville,MO,Missouri
Divide,CO,Colorado
Schuyler Lake,NY,New York
Old Ripley,IL,Illinois
Harborton,VA,Virginia
Swedesburg,IA,Iowa
New Buffalo,PA,Pennsylvania
Saint Marks,KS,Kansas
Chimney Hill,VT,Vermont
Houghton,IA,Iowa
Collyer,KS,Kansas
Datto,AR,Arkansas
Springbrook,WI,Wisconsin
Martinsburg,NE,Nebraska
Lookeba,OK,Oklahoma
Hamilton,IA,Iowa
Cromwell,IA,Iowa
Alix,AR,Arkansas
Tibes,PR,Puerto Rico
Riverwood,IN,Indiana
Aldora,GA,Georgia
Lago,TX,Texas
Batesland,SD,South Dakota
Garden City,SD,South Dakota
Oakley,WY,Wyoming
Shannon,NC,North Carolina
Bisbee,ND,North Dakota
Lake Valley,NM,New Mexico
McKay,OR,Oregon
Caballo,NM,New Mexico
Matlacha Isles-Matlacha Shores,FL,Florida
Why,AZ,Arizona
Weitchpec,CA,California
Shedd,OR,Oregon
Hoyt,OK,Oklahoma
Maybeury,WV,West Virginia
Slate Springs,MS,Mississippi
Orchard,CO,Colorado
Pulaski,PA,Pennsylvania
Schenley,PA,Pennsylvania
Hiseville,KY,Kentucky
Alberta,MN,Minnesota
Clarks Mills,WI,Wisconsin
Fort Hill,OR,Oregon
Springerton,IL,Illinois
North Lilbourn,MO,Missouri
Unionville,IA,Iowa
Peoa,UT,Utah
Lee Mont,VA,Virginia
Shepardsville,IN,Indiana
Drytown,CA,California
Briggsdale,CO,Colorado
Ethelsville,AL,Alabama
Reservoir,PA,Pennsylvania
New Weston,OH,Ohio
Tooleville,CA,California
Brady,MT,Montana
Moyers,OK,Oklahoma
Donegal,PA,Pennsylvania
Jansen,NE,Nebraska
Loco,OK,Oklahoma
Centrahoma,OK,Oklahoma
Hansford,WV,West Virginia
Frankfort Springs,PA,Pennsylvania
Tse Bonito,NM,New Mexico
Osaka,VA,Virginia
Parkman,OH,Ohio
Promise City,IA,Iowa
Congress,OH,Ohio
Martin,NE,Nebraska
Flournoy,CA,California
Agar,SD,South Dakota
Ellisville,IL,Illinois
Lelia Lake,TX,Texas
Rives,MO,Missouri
Gypsy,WV,West Virginia
Baileyville,PA,Pennsylvania
Solen,ND,North Dakota
Ohlman,IL,Illinois
Riddleville,GA,Georgia
Gaylord,KS,Kansas
Danbury,WI,Wisconsin
Hendrix,OK,Oklahoma
Klingerstown,PA,Pennsylvania
Millerdale Colony,SD,South Dakota
Templeton,VA,Virginia
Canoochee,GA,Georgia
Aten,NE,Nebraska
Grayridge,MO,Missouri
Reserve,KS,Kansas
Mentor,KS,Kansas
Buckhorn,NM,New Mexico
Yankee Lake,OH,Ohio
Klondike,MD,Maryland
White Earth,ND,North Dakota
Anvik,AK,Alaska
Trail Side,CO,Colorado
Winthrop,AR,Arkansas
Sunland Estates,WA,Washington
Stockton,MD,Maryland
Fort Greely,AK,Alaska
Pottery Addition,OH,Ohio
Eminence,IN,Indiana
Ebro,MN,Minnesota
West Union,MN,Minnesota
Liebenthal,KS,Kansas
Purty Rock,NM,New Mexico
Mount Eaton,OH,Ohio
Brentford,SD,South Dakota
Douglas,ND,North Dakota
Thendara,NY,New York
Barnard,KS,Kansas
Mayfield Colony,SD,South Dakota
Hoffman,OK,Oklahoma
Nimrod,MN,Minnesota
Weott,CA,California
Panola,AL,Alabama
Marshfield,IN,Indiana
Englewood,KS,Kansas
Allport,AR,Arkansas
Ratliff City,OK,Oklahoma
Kirwin,KS,Kansas
Kevin,MT,Montana
Roscoe,NE,Nebraska
Salem,NE,Nebraska
St. Charles,VA,Virginia
Platter,OK,Oklahoma
Hunnewell,KS,Kansas
Manchester,IN,Indiana
Chapeno,TX,Texas
Amherst,CO,Colorado
Dayton Lakes,TX,Texas
Mulkeytown,IL,Illinois
Delway,NC,North Carolina
Hashtown,IN,Indiana
Lincolnville,PA,Pennsylvania
Willington,SC,South Carolina
Calpine,CA,California
Tazewell,GA,Georgia
Christopher Creek,AZ,Arizona
Morse Bluff,NE,Nebraska
Hiwassee,VA,Virginia
Woodford,WI,Wisconsin
Montezuma,CO,Colorado
Qui-nai-elt Village,WA,Washington
Raymer,CO,Colorado
